geocode_text,lon,lat,place_name,relevance,feature_id
"chikutola, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"tete, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"chisindo, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mitawa, Malawi",35.04093,-16.302781,"Mitawi, Chikwawa, Malawi",0.958333,place.7334046
"mdandu, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"kasumbudzula, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mtambwa, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"sambango, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mbeta, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"bango, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mphalabungu, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"kapoka, Malawi",33.445552,-9.789264,"Kapoka, Chitipa, Malawi",1.0,place.4556958
"njuchi, Malawi",33.89557,-14.337874,"Njuci, Dedza, Malawi",0.958333,place.9611422
"ntchito, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"chikwaya, Malawi",34.791215,-16.027131,"Chikwawa, Malawi",0.96875,region.165022
"kawaliza, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"chisero, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"dete, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"njobvu, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"chiletsa, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"nyengere, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"kadzemba, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"njaole, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"chibwinja, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"chilikumwendo, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"airfield, Lilongwe, Malawi",33.768144,-13.987511,"Lilongwe, Malawi",1.0,region.50334
"satha, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"ndindi, Malawi",34.513717,-13.964547,"Ndindi, Salima, Malawi",1.0,place.9250974
"chalendewa, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"kapeni, Malawi",34.377432,-14.244125,"Kapesi, Dedza, Malawi",0.958333,place.4458654
"ngolowe, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"sakifosi, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"maula, Malawi",33.406444,-13.931633,"Masula, Lilongwe, Malawi",0.95,place.6695070
"chatata, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"nathenje, Malawi",33.906708,-14.080234,"Nathenje, Lilongwe, Malawi",1.0,place.9119902
"chakhaza, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"chiwoza, Malawi",33.989995,-13.902615,"Chiwoza, Lilongwe, Malawi",1.0,place.2214046
"malengachanzi, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"chimkonde, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"kapida, Malawi",34.092585,-10.443114,"Kapika, Karonga, Malawi",0.958333,place.4515998
"mlapo, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"maseso, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"mayani, Malawi",34.248321,-14.090939,"Mayani, Dedza, Malawi",1.0,place.6834334
"chikanda, Malawi",33.489201,-9.713879,"Chibanda, Chitipa, Malawi",0.96875,place.903326
"matima, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"masewera, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"nalukala, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"mduma, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"chikumkuyu, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"kampata, Malawi",33.478512,-14.016451,"Kampala, Lilongwe, Malawi",0.964286,place.4180126
"village, Malawi",,,,0.0,
"6miles, Lilongwe, Malawi",33.768144,-13.987511,"Lilongwe, Malawi",0.666667,region.50334
"nkhomba, Malawi",34.103753,-14.040205,"Nkhoma, Lilongwe, Malawi",0.964286,place.9709726
"kalumo, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"mtolo, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"Area reArea 23, Lilongwe, Malawi",33.768144,-13.987511,"Lilongwe, Malawi",0.548148,region.50334
"Area reArea 44, Lilongwe, Malawi",33.768144,-13.987511,"Lilongwe, Malawi",0.548148,region.50334
"kalamizu, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"chamadenga, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"madetsa, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"kalomba, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"njonja, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"chimoto, Malawi",33.401984,-14.095182,"Chamoto, Lilongwe, Malawi",0.964286,place.632990
"mzikamanda, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"kwanji, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"chikapola, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"ezala, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"bito, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"chilembwe, Malawi",33.479773,-13.957801,"Chilembwe, Lilongwe, Malawi",1.0,place.1231006
"mapemba, Malawi",34.222142,-14.09729,"Mapemba, Dedza, Malawi",1.0,place.6547614
"manondo, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"kabwazi, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"mpombe, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"kasambwe, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"mziza, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"kalumbadza, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"tsonga, Malawi",34.869976,-14.549209,"Songa, Mangochi, Malawi",0.958333,place.10717342
"dambo, Malawi",33.518109,-13.960566,"Dambo, Lilongwe, Malawi",1.0,place.2427038
"chombo, Malawi",34.257688,-12.874196,"Chombo, Nkhotakota, Malawi",1.0,place.2287774
"msakambewa, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"masinja3, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mkuzi, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"salijeni, Malawi",34.947764,-16.361063,"Salujeni, Chikwawa, Malawi",0.96875,locality.584350
"Area reArea 49, Lilongwe, Malawi",33.768144,-13.987511,"Lilongwe, Malawi",0.548148,region.50334
"mkhala, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"molongo, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mabuchi, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"kaphiri, Malawi",34.659053,-14.312872,"Kapiri, Dedza, Malawi",0.964286,place.4540574
"mlenga, Malawi",35.351576,-15.485979,"Mlenga, Zomba, Malawi",1.0,place.7530654
"nkhongo, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"misesa, Malawi",35.189439,-14.544676,"misesa, Mangochi, Malawi",1.0,place.7293086
"chakhadza, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"nyundo, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"nsayenderana, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"villa, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"kamenya, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"namkumba, Malawi",34.8167,-14.365366,"Nankumba, Mangochi, Malawi",0.96875,place.9070750
"chikapule, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"chapendeka, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mphanje, Malawi",35.201466,-16.33919,"Mphande, Thyolo, Malawi",0.964286,place.7817374
"makwenda, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"likoloma, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mzamba, Malawi",33.964039,-13.595078,"Mpamba, Dowa, Malawi",0.958333,place.7760030
"chimbowa, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mapiko, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"dawe, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"nursing college, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.425926,place.6260894
"mbuziyadula, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"gonkho, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mnunguzi, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"mpima, Malawi",34.643245,-14.855282,"Mpira, Ntcheu, Malawi",0.95,place.7956638
"chambala, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mganga, Malawi",33.475734,-14.071312,"Mkanga, Lilongwe, Malawi",0.958333,place.7391390
"chaweza, Malawi",35.578494,-15.538096,"Chawesa, Zomba, Malawi",0.964286,place.854174
"jumbe, Malawi",34.71302,-15.357607,"Lumbe, Neno, Malawi",0.95,place.5777566
"kanyambo, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"undi, Malawi",33.997746,-13.265041,"Undi, Ntchisi, Malawi",1.0,place.11110558
"chizili, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"matapila, Malawi",33.970826,-14.021791,"Matapila, Lilongwe, Malawi",1.0,place.6719646
"mphande, Malawi",35.201466,-16.33919,"Mphande, Thyolo, Malawi",1.0,place.7817374
"mwadzana, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"march, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"Area 23, Lilongwe, Malawi",33.768144,-13.987511,"Lilongwe, Malawi",0.592593,region.50334
"Area 24, Lilongwe, Malawi",33.768144,-13.987511,"Lilongwe, Malawi",0.592593,region.50334
"kalomo, Malawi",33.390586,-14.010568,"Kalolo, Lilongwe, Malawi",0.958333,place.3901598
"gwaza, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"thete, Malawi",34.096401,-14.3146,"Thete, Dedza, Malawi",1.0,place.10922142
"kafulatila, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"madula, Malawi",33.406444,-13.931633,"Masula, Lilongwe, Malawi",0.958333,place.6695070
"mkhonde, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mchini, Malawi",32.887496,-13.797173,"Mchinji, Malawi",0.958333,region.222366
"mnungu, Malawi",33.443339,-13.949939,"Mzungu, Lilongwe, Malawi",0.958333,place.8857758
"mlolo, Malawi",35.213172,-16.477979,"Mlolo, Nsanje, Malawi",1.0,place.7579806
"khokhwa, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"kalikokha, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"nanthambwe, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"zimba, Malawi",35.326827,-15.386321,"Zomba, Malawi",0.95,region.42142
"ndirande, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"kacheza, Malawi",33.514623,-13.288794,"Kacheta, Kasungu, Malawi",0.964286,place.3598494
"misoma, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"mlembe, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"kamangazula, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mlemba, Malawi",34.7691,-15.515453,"Mbemba, Neno, Malawi",0.958333,place.6965406
"mapini, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"chilombo, Malawi",34.654739,-15.347043,"Chilombo, Neno, Malawi",1.0,place.1255582
"mbala, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"jenala, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"chisawa, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mabuka, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"chimwala, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"sandukila, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mulima, Malawi",34.871662,-15.815103,"Mulima, Blantyre, Malawi",1.0,place.8423582
"msamala, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"namanga, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mulanda, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"bongololo, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"kaluzi, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"chinomwe, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"mwachilolo, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"kafwafwa, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"kunsinja, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mphinzi, Malawi",34.307373,-13.842726,"Mphinzi, Salima, Malawi",1.0,place.7882910
"Area 25, Lilongwe, Malawi",33.768144,-13.987511,"Lilongwe, Malawi",0.592593,region.50334
"kamiza, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mchumba, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"chigodi, Malawi",34.059917,-14.060622,"Chingodi, Lilongwe, Malawi",0.964286,place.1460382
"kadula, Malawi",34.664071,-15.515855,"Kaduka, Neno, Malawi",0.958333,place.3664030
"mwase, Malawi",33.438741,-13.066416,"Mwase, Kasungu, Malawi",1.0,place.8693918
"chauwa, Malawi",33.899742,-13.735051,"Chauwa, Dowa, Malawi",1.0,place.829598
"mndolo, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mkukula, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"mpando, Malawi",33.378233,-14.046481,"Mphando, Lilongwe, Malawi",0.958333,place.7825566
"ndemela, Malawi",33.449666,-13.823615,"Demela, Lilongwe, Malawi",0.964286,place.2476190
"mtukula, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"kunkhadze, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"msolo, Malawi",35.213172,-16.477979,"Mlolo, Nsanje, Malawi",0.95,place.7579806
"chambu, Malawi",35.248984,-14.482546,"Chamba, Mangochi, Malawi",0.958333,place.575646
"siliya, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mbilima, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"kawale, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"kankhomba, Malawi",34.270637,-14.234414,"Kankhumba, Dedza, Malawi",0.972222,place.4303006
"Area 49, Lilongwe, Malawi",33.768144,-13.987511,"Lilongwe, Malawi",0.592593,region.50334
"amon, Malawi",33.739164,-13.215804,Malawi,1.0,country.8862
"lobi, Malawi",34.075973,-14.382453,"Lobi, Dedza, Malawi",1.0,place.5646494
"kapatuka, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"suzi, Malawi",33.483271,-12.935962,"Suza, Kasungu, Malawi",0.9375,place.10758302
"duke, Malawi",33.739164,-13.215804,Malawi,1.0,country.8862
"chipye, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mitayi, Malawi",35.04093,-16.302781,"Mitawi, Chikwawa, Malawi",0.958333,place.7334046
"lodzanyama, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"Area 56, Lilongwe, Malawi",33.768144,-13.987511,"Lilongwe, Malawi",0.592593,region.50334
"ndiwo, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"gundani, Malawi",33.501239,-13.049451,"Gundani, Kasungu, Malawi",1.0,place.2992286
"moyale, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mbuna, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"ll, Malawi",34.701808,-15.300392,"Malawi, Neno, Malawi",0.5,place.6260894
"katondo, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"kampini, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"nyongani, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mpondazuwa, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"chawo, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"maiwa, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"kasaliaka, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"khama, Malawi",33.551066,-10.186424,"Kama, Chitipa, Malawi",0.95,place.3999902
"kumakoka, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"chiwale, Malawi",33.650086,-14.217782,"Chiwale, Lilongwe, Malawi",1.0,place.2140318
"chilalo, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
"mchedza, Malawi",33.739164,-13.215804,Malawi,0.5,country.8862
